hireStartTime;hireEndTime;carId;clientId;clientSatisfaction;roadLength;repairsCost
09/23/2019 12:26;02/24/2020 02:29;0;1;1;8491.5;0
11/20/2016 18:06;08/12/2017 00:17;0;1;2;13226.4;0
01/31/2007 08:48;07/29/2007 18:57;0;1;4;1127.7;0
07/22/2019 04:35;01/25/2020 17:08;0;1;8;9293.9;0
07/22/2003 15:45;03/04/2004 20:09;0;3;6;21741.2;0
03/08/2016 03:54;05/13/2016 17:05;0;3;2;3088.8;0
02/02/2003 14:20;09/05/2003 11:52;0;3;1;6955.0;12700
09/28/1999 01:55;08/08/2000 00:21;0;3;5;9388.6;0
10/06/2011 08:04;12/31/2011 17:08;0;3;10;1806.0;0
08/28/2006 05:29;08/02/2007 21:26;0;3;10;30916.8;0
12/10/2002 09:01;05/24/2003 09:19;0;3;7;11451.0;0
01/16/1991 01:31;02/14/1991 02:49;0;3;8;1296.3;0
06/29/2020 11:08;09/02/2020 09:49;0;3;9;2880.0;0
10/13/1998 09:43;07/29/1999 13:47;0;3;6;23380.1;0
01/05/2019 13:42;08/28/2019 14:58;0;5;7;19622.5;0
05/22/2019 06:42;07/31/2019 04:48;0;7;10;3415.5;0
03/15/2020 07:00;04/18/2020 07:25;0;7;0;635.8;0
06/15/2014 20:10;12/14/2014 08:47;0;7;1;13774.1;0
03/31/2016 15:27;12/20/2016 13:51;0;7;5;946.8;0
08/21/2017 05:30;08/31/2017 23:28;0;7;10;731.0;0
10/18/2018 19:47;10/05/2019 12:57;0;7;6;30607.2;0
02/02/2017 13:05;09/19/2017 22:58;0;7;8;9137.1;0
05/11/2017 14:12;02/03/2018 16:01;0;7;0;1661.6;0
10/09/2019 11:22;08/16/2020 05:44;0;7;2;30384.7;0
04/23/2011 07:05;07/19/2011 00:46;0;9;5;438.6;0
08/08/2011 02:36;07/28/2012 21:04;0;9;5;18282.5;0
08/18/2013 00:23;07/17/2014 10:30;0;9;4;17116.2;0
12/19/2017 08:45;08/31/2018 09:02;0;9;8;3136.5;0
09/14/2018 15:13;04/14/2019 07:29;0;9;0;4747.5;0
10/16/2012 20:18;08/26/2013 17:37;0;9;4;6854.7;0
06/14/2003 06:17;01/24/2004 21:05;0;11;0;9609.6;0
02/06/2003 05:29;07/10/2003 01:40;0;11;6;13142.7;0
12/05/1976 01:00;04/07/1977 06:16;0;11;6;10233.6;0
05/28/2008 01:07;04/14/2009 21:34;0;11;5;31393.8;0
12/31/1988 16:25;06/28/1989 04:14;0;11;3;7084.4;0
01/24/2013 15:25;12/12/2013 22:23;0;11;1;7116.2;0
04/08/2014 01:43;09/24/2014 01:52;0;13;3;16832.4;0
09/27/2013 18:39;04/29/2014 20:29;0;13;4;11106.6;0
08/05/2018 23:12;05/29/2019 12:01;0;13;9;7577.6;0
06/05/1977 09:54;06/06/1977 08:54;0;15;3;0.0;0
05/01/1979 18:34;05/15/1979 15:58;0;17;9;1054.3;0
07/17/2016 06:16;03/19/2017 12:56;0;19;3;4189.5;0
11/28/2018 05:23;04/14/2019 02:30;0;19;8;1808.8;0
01/11/2017 19:27;09/15/2017 08:41;0;21;8;14046.6;0
08/25/2018 18:36;02/27/2019 00:55;0;21;9;17186.5;0
04/30/2017 13:16;08/01/2017 19:47;0;21;7;7672.5;0
11/25/2017 03:54;06/21/2018 04:01;0;21;1;14352.0;0
12/18/2017 22:27;06/02/2018 11:05;0;21;7;11616.0;17700
06/22/2017 07:42;03/23/2018 18:21;0;21;2;1424.8;0
11/18/2016 12:46;06/20/2017 05:03;0;21;7;21001.8;0
11/04/2018 14:27;07/26/2019 10:36;0;21;8;6101.6;0
07/18/2017 17:32;05/05/2018 23:27;0;21;0;4714.2;0
08/20/2014 01:51;09/27/2014 06:03;0;23;3;285.0;0
02/18/2014 05:57;05/01/2014 05:06;0;23;2;610.6;0
02/01/2014 12:54;06/19/2014 21:47;0;23;0;4512.6;0
09/20/2016 10:08;03/01/2017 15:58;0;23;2;11404.8;0
02/24/2019 01:11;01/15/2020 07:02;0;23;1;2730.0;0
10/15/2017 14:13;08/17/2018 14:21;0;23;0;7221.6;0
02/21/2016 15:33;11/25/2016 08:19;0;25;7;6121.7;0
06/02/2010 11:11;08/21/2010 20:47;0;25;7;5728.0;0
10/09/2009 16:07;05/20/2010 01:57;0;25;10;16006.2;0
07/03/2013 13:24;03/27/2014 13:53;0;25;10;453.9;0
07/24/2019 09:14;02/28/2020 12:38;0;25;10;9154.2;0
03/03/2017 10:46;07/16/2017 08:27;0;25;9;308.2;0
03/05/2010 10:30;10/26/2010 19:34;0;25;10;8836.0;0
10/08/2011 12:51;11/12/2011 00:13;0;25;10;1927.8;0
11/27/2016 10:56;03/23/2017 09:55;0;27;10;6762.0;0
08/15/2007 08:22;04/16/2008 23:58;0;27;0;1886.5;0
07/18/2004 20:13;07/28/2004 10:22;0;27;2;701.1;0
04/27/2005 08:20;12/08/2005 07:32;0;27;0;21907.2;0
05/04/2010 19:58;10/22/2010 19:00;0;27;1;3128.0;0
10/14/2008 22:01;10/02/2009 23:14;0;27;3;24780.6;0
04/18/2012 13:09;07/08/2012 12:35;0;27;8;4328.0;0
03/03/2015 11:17;05/27/2015 16:41;0;27;9;4479.5;0
06/17/2007 06:12;07/07/2007 23:40;0;27;0;312.0;0
11/22/2015 21:08;11/12/2016 01:06;0;27;7;11289.0;0
07/14/1995 21:14;01/19/1996 07:14;0;29;3;4794.0;0
01/21/2003 17:38;11/13/2003 19:14;0;29;9;16487.2;0
06/27/1993 05:51;02/16/1994 03:33;0;29;9;3564.9;0
05/24/1997 18:30;03/03/1998 09:12;0;29;4;12097.8;0
09/29/2004 03:18;07/01/2005 19:02;0;29;9;27087.5;0
11/13/2019 06:29;12/09/2019 02:01;0;29;4;2490.0;0
05/26/1992 14:47;06/09/1992 04:05;0;29;0;50.7;0
02/28/2001 13:59;05/05/2001 08:54;0;29;8;598.0;0
01/13/2001 14:17;11/06/2001 15:07;0;29;2;1514.7;0
02/01/1977 07:02;07/02/1977 06:35;0;31;8;8250.0;0
01/17/2006 20:22;05/30/2006 15:51;0;31;6;9464.4;0
11/22/1978 12:18;07/22/1979 22:58;0;31;1;23207.8;0
10/19/1974 04:56;12/16/1974 03:30;0;31;1;2924.1;0
06/01/2016 05:46;09/15/2016 03:30;0;31;1;1134.0;0
02/20/1985 13:59;02/19/1986 19:02;0;31;4;7898.8;0
10/27/2014 19:23;09/05/2015 11:50;0;33;0;26239.2;0
04/22/2017 05:51;08/22/2017 18:59;0;33;4;1610.4;0
11/29/2015 07:52;06/03/2016 22:46;0;33;4;1028.5;0
08/02/2019 16:56;06/16/2020 18:12;0;33;5;21819.6;0
05/11/2018 05:26;12/24/2018 04:24;0;33;5;16904.8;0
01/19/2020 00:49;03/31/2020 13:31;0;33;4;4068.0;0
06/02/2014 14:16;09/09/2014 19:46;0;33;3;693.0;0
11/26/2015 21:34;05/25/2016 07:35;0;33;9;3330.0;7600
11/24/2019 04:37;12/24/2019 15:19;0;33;4;732.0;0
09/25/2016 12:36;05/01/2017 21:25;0;33;0;1308.0;0
12/18/1969 08:13;03/13/1970 18:30;0;35;9;5754.5;0
05/18/1994 11:26;04/07/1995 06:12;0;35;7;23417.5;0
06/22/2020 07:44;11/22/2020 22:40;0;35;8;2233.8;0
06/19/1968 10:58;08/14/1968 15:46;0;35;3;4491.2;0
04/04/1981 23:52;02/02/1982 00:39;0;35;2;22149.3;0
12/18/2009 03:38;08/04/2010 10:07;0;35;10;18022.3;0
06/17/2012 05:58;04/14/2013 17:15;0;35;9;12642.0;0
06/03/2015 14:27;01/07/2016 09:51;0;37;7;2256.8;0
08/09/2019 06:52;03/17/2020 17:28;0;37;9;14696.5;0
07/02/2019 03:17;08/02/2019 01:44;0;37;3;963.0;0
08/05/2014 12:02;11/12/2014 22:41;0;37;0;148.5;0
11/10/1988 14:24;01/26/1989 14:11;0;39;3;6817.2;0
01/28/1970 02:12;06/11/1970 05:05;0;39;4;6432.0;0
11/20/1983 09:23;05/22/1984 07:48;0;39;6;3531.9;0
02/11/1980 14:52;08/30/1980 06:12;0;39;0;8420.0;0
10/13/1976 06:56;02/11/1977 17:49;0;39;2;3254.9;0
09/24/2010 19:36;05/21/2011 19:10;0;39;4;11305.0;0
08/03/2015 19:14;08/02/2016 08:10;0;39;4;1492.4;0
02/10/2010 08:50;12/22/2010 22:24;0;39;1;15781.5;0
06/29/1996 17:07;05/31/1997 09:48;0;39;7;21909.0;0
03/31/1984 19:48;06/18/1984 12:40;0;39;5;4960.8;0
11/19/1975 18:55;08/07/1976 23:28;0;41;3;24235.0;0
09/28/2008 15:45;05/02/2009 06:14;0;41;9;12190.5;0
09/29/2015 21:47;11/13/2015 13:30;0;43;3;950.4;0
04/15/2016 17:54;01/25/2017 12:01;0;45;7;8491.6;0
04/12/2015 23:58;01/05/2016 14:34;0;45;0;15993.3;0
05/03/2018 01:37;11/09/2018 08:08;0;45;0;11172.0;0
04/16/2017 17:34;11/02/2017 07:12;0;45;1;15283.2;0
12/06/2017 04:21;06/06/2018 21:58;0;45;0;1164.8;0
04/08/2015 08:41;05/08/2015 10:57;0;45;10;2784.0;0
